Year,Month,Record_Count,Filename
2012,08,190,data_year_2012_month_08.csv
2012,09,190,data_year_2012_month_09.csv
2012,10,190,data_year_2012_month_10.csv
2012,11,190,data_year_2012_month_11.csv
2012,12,190,data_year_2012_month_12.csv
2013,01,190,data_year_2013_month_01.csv
2013,02,190,data_year_2013_month_02.csv
2013,03,190,data_year_2013_month_03.csv
2013,04,190,data_year_2013_month_04.csv
2013,05,190,data_year_2013_month_05.csv
2013,06,190,data_year_2013_month_06.csv
2013,07,190,data_year_2013_month_07.csv
2013,08,190,data_year_2013_month_08.csv
2013,09,190,data_year_2013_month_09.csv
2013,10,190,data_year_2013_month_10.csv
2013,11,190,data_year_2013_month_11.csv
2013,12,190,data_year_2013_month_12.csv
2014,01,190,data_year_2014_month_01.csv
2014,02,190,data_year_2014_month_02.csv
2014,03,190,data_year_2014_month_03.csv
2014,04,190,data_year_2014_month_04.csv
2014,05,190,data_year_2014_month_05.csv
2014,06,190,data_year_2014_month_06.csv
2014,07,190,data_year_2014_month_07.csv
2014,08,190,data_year_2014_month_08.csv
2014,09,190,data_year_2014_month_09.csv
2014,10,190,data_year_2014_month_10.csv
2014,11,190,data_year_2014_month_11.csv
2014,12,190,data_year_2014_month_12.csv
2015,01,190,data_year_2015_month_01.csv
2015,02,190,data_year_2015_month_02.csv
2015,03,190,data_year_2015_month_03.csv
2015,04,190,data_year_2015_month_04.csv
2015,05,190,data_year_2015_month_05.csv
2015,06,190,data_year_2015_month_06.csv
2015,07,190,data_year_2015_month_07.csv
2015,08,190,data_year_2015_month_08.csv
2015,09,190,data_year_2015_month_09.csv
2015,10,190,data_year_2015_month_10.csv
2015,11,190,data_year_2015_month_11.csv
2015,12,190,data_year_2015_month_12.csv
2016,01,190,data_year_2016_month_01.csv
2016,02,190,data_year_2016_month_02.csv
2016,03,190,data_year_2016_month_03.csv
2016,04,190,data_year_2016_month_04.csv
2016,05,190,data_year_2016_month_05.csv
2016,06,190,data_year_2016_month_06.csv
2016,07,190,data_year_2016_month_07.csv
2016,08,190,data_year_2016_month_08.csv
2016,09,190,data_year_2016_month_09.csv
2016,10,190,data_year_2016_month_10.csv
2016,11,190,data_year_2016_month_11.csv
2016,12,190,data_year_2016_month_12.csv
2017,01,190,data_year_2017_month_01.csv
2017,02,190,data_year_2017_month_02.csv
2017,03,190,data_year_2017_month_03.csv
2017,04,190,data_year_2017_month_04.csv
2017,05,190,data_year_2017_month_05.csv
2017,06,190,data_year_2017_month_06.csv
2017,07,190,data_year_2017_month_07.csv
2017,08,190,data_year_2017_month_08.csv
2017,09,190,data_year_2017_month_09.csv
2017,10,190,data_year_2017_month_10.csv
2017,11,190,data_year_2017_month_11.csv
2017,12,190,data_year_2017_month_12.csv
2018,01,190,data_year_2018_month_01.csv
2018,02,190,data_year_2018_month_02.csv
2018,03,190,data_year_2018_month_03.csv
2018,04,190,data_year_2018_month_04.csv
2018,05,190,data_year_2018_month_05.csv
2018,06,190,data_year_2018_month_06.csv
2018,07,190,data_year_2018_month_07.csv
2018,08,190,data_year_2018_month_08.csv
2018,09,190,data_year_2018_month_09.csv
2018,10,190,data_year_2018_month_10.csv
2018,11,190,data_year_2018_month_11.csv
2018,12,190,data_year_2018_month_12.csv
2019,01,190,data_year_2019_month_01.csv
2019,02,190,data_year_2019_month_02.csv
2019,03,190,data_year_2019_month_03.csv
2019,04,190,data_year_2019_month_04.csv
2019,05,190,data_year_2019_month_05.csv
2019,06,190,data_year_2019_month_06.csv
2019,07,190,data_year_2019_month_07.csv
2019,08,190,data_year_2019_month_08.csv
2019,09,190,data_year_2019_month_09.csv
2019,10,190,data_year_2019_month_10.csv
2019,11,190,data_year_2019_month_11.csv
2019,12,190,data_year_2019_month_12.csv
2020,01,190,data_year_2020_month_01.csv
2020,02,190,data_year_2020_month_02.csv
2020,03,190,data_year_2020_month_03.csv
2020,04,190,data_year_2020_month_04.csv
2020,05,190,data_year_2020_month_05.csv
2020,06,190,data_year_2020_month_06.csv
2020,07,190,data_year_2020_month_07.csv
2020,08,190,data_year_2020_month_08.csv
2020,09,190,data_year_2020_month_09.csv
2020,10,190,data_year_2020_month_10.csv
2020,11,190,data_year_2020_month_11.csv
2020,12,190,data_year_2020_month_12.csv
2021,01,190,data_year_2021_month_01.csv
2021,02,190,data_year_2021_month_02.csv
2021,03,190,data_year_2021_month_03.csv
2021,04,190,data_year_2021_month_04.csv
2021,05,190,data_year_2021_month_05.csv
2021,06,190,data_year_2021_month_06.csv
2021,07,190,data_year_2021_month_07.csv
2021,08,190,data_year_2021_month_08.csv
2021,09,190,data_year_2021_month_09.csv
2021,10,190,data_year_2021_month_10.csv
2021,11,190,data_year_2021_month_11.csv
2021,12,190,data_year_2021_month_12.csv
2022,01,190,data_year_2022_month_01.csv
2022,02,190,data_year_2022_month_02.csv
2022,03,190,data_year_2022_month_03.csv
2022,04,190,data_year_2022_month_04.csv
2022,05,190,data_year_2022_month_05.csv
2022,06,190,data_year_2022_month_06.csv
2022,07,190,data_year_2022_month_07.csv
2022,08,190,data_year_2022_month_08.csv
2022,09,190,data_year_2022_month_09.csv
2022,10,190,data_year_2022_month_10.csv
2022,11,190,data_year_2022_month_11.csv
2022,12,190,data_year_2022_month_12.csv
2023,01,190,data_year_2023_month_01.csv
2023,02,190,data_year_2023_month_02.csv
2023,03,190,data_year_2023_month_03.csv
2023,04,190,data_year_2023_month_04.csv
2023,05,190,data_year_2023_month_05.csv
2023,06,190,data_year_2023_month_06.csv
2023,07,190,data_year_2023_month_07.csv
2023,08,190,data_year_2023_month_08.csv
2023,09,190,data_year_2023_month_09.csv
2023,10,190,data_year_2023_month_10.csv
2023,11,190,data_year_2023_month_11.csv
2023,12,190,data_year_2023_month_12.csv
2024,01,190,data_year_2024_month_01.csv
2024,02,190,data_year_2024_month_02.csv
2024,03,190,data_year_2024_month_03.csv
2024,04,190,data_year_2024_month_04.csv
2024,05,190,data_year_2024_month_05.csv
2024,06,190,data_year_2024_month_06.csv
2024,07,190,data_year_2024_month_07.csv
2024,08,190,data_year_2024_month_08.csv
2024,09,190,data_year_2024_month_09.csv
2024,10,190,data_year_2024_month_10.csv
2024,11,190,data_year_2024_month_11.csv
