system:index,@id,crop,date,feature_id,id,landuse,name,operator,place,rainfall_mm,sum,type,.geo
253_00000000000000000038,way/830402251,,2021-02,00000000000000000038,way/830402251,farmland,,,,0.7682065514957204,0.7682065514957204,,"{""type"":""Polygon"",""coordinates"":[[[37.505476664029764,-2.1322707697332635],[37.505155589090265,-2.1329351620896007],[37.50705516627412,-2.1339563126724537],[37.50752781503984,-2.1332562203453715],[37.506961514885596,-2.1329396592121386],[37.50738518268564,-2.132293061754791],[37.507933660683456,-2.1325829184926355],[37.51249975120685,-2.1252075879361327],[37.51132703433856,-2.1244182994584295],[37.50897706705811,-2.1227996259128483],[37.50363506050325,-2.131213995843938],[37.505476664029764,-2.1322707697332635]]]}"
253_00000000000000000039,way/848924174,,2021-02,00000000000000000039,way/848924174,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.69616117012989,-2.303892665883883],[37.69636630613627,-2.3039060296176634],[37.69646441091917,-2.3040219753790288],[37.69662045322927,-2.303919440699766],[37.69656251556372,-2.303763329377616],[37.69649565186731,-2.3037276923342067],[37.69643316995699,-2.303781162004912],[37.69636630613627,-2.303758860032107],[37.69642878810664,-2.303647403795822],[37.69635738013592,-2.3035716007859537],[37.69629051624234,-2.3035492987378037],[37.69608984303026,-2.3036875507190233],[37.69607199095747,-2.3037856145664968],[37.69616117012989,-2.303892665883883]]]}"
253_0000000000000000003a,way/849366800,,2021-02,0000000000000000003a,way/849366800,farmland,,,,0.1250608121647554,0.1250608121647554,,"{""type"":""Polygon"",""coordinates"":[[[37.685209616138565,-2.221136209467877],[37.68582057436017,-2.2211897039628234],[37.68662768350354,-2.2213234905177024],[37.68678821148646,-2.2206813603360502],[37.68674357533018,-2.2206501821286437],[37.68681044839727,-2.220351408947688],[37.6870066847694,-2.2204227283007523],[37.68729202997112,-2.2197761643403244],[37.687733517398115,-2.2199278127524016],[37.687885115743754,-2.2197493999085807],[37.68815714792162,-2.2194952599576436],[37.688228483152706,-2.2194640473637586],[37.68827303720192,-2.2193258054925527],[37.68820170201651,-2.2192767625040832],[37.6884648059443,-2.218389414735539],[37.68873237236725,-2.2178453614373956],[37.68603458701753,-2.2167083129428926],[37.68553067827417,-2.2180460702048825],[37.684933189868,-2.218871003029303],[37.68591861285294,-2.2192500031024376],[37.68546380397772,-2.2202666859474767],[37.684964435992946,-2.2201462660217075],[37.68468792758981,-2.2211094267557536],[37.685209616138565,-2.221136209467877]]]}"
253_0000000000000000003b,way/849838178,,2021-02,0000000000000000003b,way/849838178,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.61196891223228,-2.1552841752964835],[37.612651193326315,-2.155333240634703],[37.61267345387387,-2.1550656776775314],[37.612396983870305,-2.1549364030326172],[37.61204471254427,-2.1548026446677286],[37.611848508995536,-2.1548784077000094],[37.611683502603725,-2.155132598756145],[37.61196891223228,-2.1552841752964835]]]}"
253_0000000000000000003c,way/849838179,,2021-02,0000000000000000003c,way/849838179,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.612026920195454,-2.154508330312788],[37.61226325746418,-2.154093630694985],[37.61152304549794,-2.1538483783904656],[37.6114695055514,-2.1538884875929436],[37.61125989504778,-2.153830546364031],[37.61117515697988,-2.1542586062420592],[37.612026920195454,-2.154508330312788]]]}"
253_0000000000000000003d,way/849838180,,2021-02,0000000000000000003d,way/849838180,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.61194218305659,-2.1547268066719774],[37.61200904659849,-2.15453062439336],[37.611184093885456,-2.154280906482511],[37.611112761098205,-2.1544994165907294],[37.61194218305659,-2.1547268066719774]]]}"
253_0000000000000000003e,way/849838181,,2021-02,0000000000000000003e,way/849838181,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.61411818075873,-2.153411403471919],[37.614162782154224,-2.153299912430158],[37.613034658703,-2.152880734256924],[37.61291872564237,-2.152916389745779],[37.61289638393026,-2.153027898894497],[37.61411818075873,-2.153411403471919]]]}"
253_0000000000000000003f,way/849838182,,2021-02,0000000000000000003f,way/849838182,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.6140379144234,-2.153545161079577],[37.614104857203365,-2.1534158192120048],[37.612887528486034,-2.1530412685292264],[37.61284292627741,-2.1531483089780714],[37.6140379144234,-2.153545161079577]]]}"
253_00000000000000000040,way/849838183,,2021-02,00000000000000000040,way/849838183,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.60835258135107,-2.156840411804258],[37.60830350761502,-2.156100206288591],[37.608076094273045,-2.156100234719791],[37.60803157024534,-2.156724511441602],[37.60835258135107,-2.156840411804258]]]}"
253_00000000000000000041,way/849838184,,2021-02,00000000000000000041,way/849838184,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.60801816428255,-2.1567378951139813],[37.60802710159136,-2.1560734374236095],[37.60789775424702,-2.1560466810134997],[37.6077862813439,-2.1560645287605604],[37.60776401924138,-2.1566575991177532],[37.60801816428255,-2.1567378951139813]]]}"
253_00000000000000000042,way/849838185,,2021-02,00000000000000000042,way/849838185,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.60773273853792,-2.156648698596544],[37.607755081898965,-2.1561804633237007],[37.60765693355442,-2.156144801657777],[37.60766587090937,-2.1560243979644604],[37.60754546026766,-2.156015491478271],[37.60746965508128,-2.156073457610498],[37.60740725589519,-2.1565416501339136],[37.60773273853792,-2.156648698596544]]]}"
253_00000000000000000043,way/849838186,,2021-02,00000000000000000043,way/849838186,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.606221173285824,-2.156198294580576],[37.606337036194,-2.1551414852288153],[37.60623449834254,-2.1551013772036898],[37.60613642911582,-2.155123648268142],[37.60605615362333,-2.1561403224939313],[37.606221173285824,-2.156198294580576]]]}"
253_00000000000000000044,way/849838187,,2021-02,00000000000000000044,way/849838187,farmland,,,,0.0,0.0,,"{""type"":""Polygon"",""coordinates"":[[[37.60669827373528,-2.1563410235015756],[37.60693016027914,-2.1564034355223263],[37.606947953924035,-2.155725663189949],[37.60680527963954,-2.1556944186029745],[37.60669380499617,-2.155734586207978],[37.60669827373528,-2.1563410235015756]]]}"
