location_id,risk_zone,composite_risk_score,premium_per_hectare,zone_multiplier,rainy_days_pct,max_event,max_dry_spell,cv,total_rainfall,mean_rainfall
849838180,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838181,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838182,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838183,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838184,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838185,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838186,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838187,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838188,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838189,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
849838190,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850196609,Zone 1 (Low Risk),0.343,60.0,0.6,96.656,1.486,1,1.274,64.229,0.215
850217478,Zone 4 (Very High Risk),0.399,150.0,1.5,77.592,1.804,4,1.375,70.016,0.234
850221362,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221364,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221365,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221368,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221369,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221370,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221372,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221373,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850221374,Zone 4 (Very High Risk),0.399,150.0,1.5,77.592,1.804,4,1.375,70.016,0.234
850221377,Zone 4 (Very High Risk),0.399,150.0,1.5,77.592,1.804,4,1.375,70.016,0.234
850221378,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850661503,Zone 4 (Very High Risk),0.403,150.0,1.5,71.906,4.06,4,1.377,161.828,0.541
850661511,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850661512,Zone 4 (Very High Risk),0.403,150.0,1.5,71.906,1.353,4,1.377,53.943,0.18
850661513,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850661514,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850661515,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850661516,Zone 4 (Very High Risk),0.409,150.0,1.5,71.906,9.526,4,1.39,370.03,1.238
850793064,Zone 4 (Very High Risk),0.403,150.0,1.5,71.906,2.707,4,1.377,107.886,0.361
850794320,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
