@id,system:index,feature_id,id,landuse,crop_Month_01,crop_Month_02,crop_Month_03,crop_Month_04,crop_Month_05,crop_Month_06,crop_Month_07,crop_Month_08,crop_Month_09,crop_Month_10,crop_Month_11,sum_Month_01,sum_Month_02,sum_Month_03,sum_Month_04,sum_Month_05,sum_Month_06,sum_Month_07,sum_Month_08,sum_Month_09,sum_Month_10,sum_Month_11
relation/11350773,288_00000000000000000001,00000000000000000001,relation/11350773,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relation/4720446,288_00000000000000000000,00000000000000000000,relation/4720446,farmland,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,84.17145172193939,121.70349167094513,276.6031873964796,417.6997332979651,86.520142302443,4.2252385989378105,19.30270155364392,14.361621133749392,6.1636156637690656,13.278090329380596,550.3380975536271
way/1097270983,288_000000000000000000a2,000000000000000000a2,way/1097270983,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270984,288_000000000000000000a3,000000000000000000a3,way/1097270984,farmland,,,,,,,,,,,,0.0967236574958352,0.0703419180477366,0.381275696847953,0.9013131048165116,0.2001288887040287,0.001577313814093,0.0198590091630524,0.0108740288700324,0.0070734776876063,0.0672641416536826,0.8178314059388404
way/1097270989,288_000000000000000000a4,000000000000000000a4,way/1097270989,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270991,288_000000000000000000a5,000000000000000000a5,way/1097270991,farmland,,,,,,,,,,,,0.0967236574958352,0.0703419180477366,0.381275696847953,0.9013131048165116,0.2001288887040287,0.001577313814093,0.0198590091630524,0.0108740288700324,0.0070734776876063,0.0672641416536826,0.8178314059388404
way/1097270992,288_000000000000000000a6,000000000000000000a6,way/1097270992,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270993,288_000000000000000000a7,000000000000000000a7,way/1097270993,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275287,288_000000000000000000a8,000000000000000000a8,way/1097275287,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275288,288_000000000000000000a9,000000000000000000a9,way/1097275288,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275295,288_000000000000000000aa,000000000000000000aa,way/1097275295,farmland,,,,,,,,,,,,0.1067146693958955,0.0793024287504308,0.405830820868997,0.9385214992597992,0.223528686662515,0.0024606838822364,0.0236199594011493,0.0135968196169272,0.0075314558312004,0.0589929010294487,0.9080092486213236
way/1097275296,288_000000000000000000ab,000000000000000000ab,way/1097275296,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275303,288_000000000000000000ac,000000000000000000ac,way/1097275303,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275322,288_000000000000000000ad,000000000000000000ad,way/1097275322,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275333,288_000000000000000000ae,000000000000000000ae,way/1097275333,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275334,288_000000000000000000af,000000000000000000af,way/1097275334,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275336,288_000000000000000000b0,000000000000000000b0,way/1097275336,farmland,,,,,,,,,,,,0.1067146693958955,0.0793024287504308,0.405830820868997,0.9385214992597992,0.223528686662515,0.0024606838822364,0.0236199594011493,0.0135968196169272,0.0075314558312004,0.0589929010294487,0.9080092486213236
way/1097275337,288_000000000000000000b1,000000000000000000b1,way/1097275337,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275340,288_000000000000000000b2,000000000000000000b2,way/1097275340,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275342,288_000000000000000000b3,000000000000000000b3,way/1097275342,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275343,288_000000000000000000b4,000000000000000000b4,way/1097275343,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189000162,288_000000000000000000b5,000000000000000000b5,way/1189000162,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189000490,288_000000000000000000b6,000000000000000000b6,way/1189000490,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189000491,288_000000000000000000b7,000000000000000000b7,way/1189000491,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189002593,288_000000000000000000b8,000000000000000000b8,way/1189002593,farmland,,,,,,,,,,,,0.1365104394800522,0.0906208262724034,0.4751412036372166,1.3768403969559015,0.3734403036973056,0.0037732414170807,0.0290844692903406,0.0354323530167925,0.0058011834235752,0.0760226514701749,1.7283870996213426
way/1189002594,288_000000000000000000b9,000000000000000000b9,way/1189002594,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189002596,288_000000000000000000ba,000000000000000000ba,way/1189002596,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189003166,288_000000000000000000bb,000000000000000000bb,way/1189003166,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1189003167,288_000000000000000000bc,000000000000000000bc,way/1189003167,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1194723986,288_000000000000000000bd,000000000000000000bd,way/1194723986,farmland,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/492807117,288_00000000000000000002,00000000000000000002,way/492807117,farmland,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,corn;cereal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/492807893,288_00000000000000000003,00000000000000000003,way/492807893,farmland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,cereal;field_cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/492810929,288_00000000000000000004,00000000000000000004,way/492810929,farmland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,field_cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/571414747,288_00000000000000000005,00000000000000000005,way/571414747,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/571416482,288_00000000000000000006,00000000000000000006,way/571416482,farmland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
